file_id,dataset_id,mip_era,activity_drs,institution_id,source_id,experiment_id,member_id,table_id,frequency,grid_label,version,nominal_resolution,variable_id,variable_long_name,variable_units,datetime_start,datetime_end,file_size,data_node,file_url,dataset_pid,tracking_id
CMIP6.CMIP.MOHC.UKESM1-0-LL.historical.r9i1p1f2.SImon.siconc.gn.v20200310.siconc_SImon_UKESM1-0-LL_historical_r9i1p1f2_gn_195001-201412.nc|esgf.ceda.ac.uk,CMIP6.CMIP.MOHC.UKESM1-0-LL.historical.r9i1p1f2.SImon.siconc.gn.v20200310|esgf.ceda.ac.uk,CMIP6,CMIP,MOHC,UKESM1-0-LL,historical,r9i1p1f2,SImon,mon,gn,20200310,100 km,siconc,Sea-ice Area Percentage (Ocean Grid),%,1950-01-01T00:00:00Z,2014-12-01T00:00:00Z,57893194,esgf.ceda.ac.uk,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r9i1p1f2/SImon/siconc/gn/v20200310/siconc_SImon_UKESM1-0-LL_historical_r9i1p1f2_gn_195001-201412.nc,hdl:21.14100/3dec87f6-3e67-3896-9b88-d36019dc7302,hdl:21.14100/7380f8b5-32a0-4e24-a2b6-42cce691ad2a
CMIP6.CMIP.NCC.NorESM2-LM.historical.r2i1p1f1.SImon.siconc.gn.v20190920.siconc_SImon_NorESM2-LM_historical_r2i1p1f1_gn_197001-197912.nc|noresg.nird.sigma2.no,CMIP6.CMIP.NCC.NorESM2-LM.historical.r2i1p1f1.SImon.siconc.gn.v20190920|noresg.nird.sigma2.no,CMIP6,CMIP,NCC,NorESM2-LM,historical,r2i1p1f1,SImon,mon,gn,20190920,100 km,siconc,Sea-Ice Area Percentage (Ocean Grid),%,1970-01-01T00:00:00Z,1979-12-01T00:00:00Z,11864106,noresg.nird.sigma2.no,http://noresg.nird.sigma2.no/thredds/fileServer/esg_dataroot/cmor/CMIP6/CMIP/NCC/NorESM2-LM/historical/r2i1p1f1/SImon/siconc/gn/v20190920/siconc_SImon_NorESM2-LM_historical_r2i1p1f1_gn_197001-197912.nc,hdl:21.14100/66e15d86-03de-3b9d-adc5-d6ebbff5a46d,hdl:21.14100/d6613877-29c6-4c82-b5ef-24864be82223
CMIP6.CMIP.NCC.NorESM2-LM.historical.r2i1p1f1.SImon.siconc.gn.v20190920.siconc_SImon_NorESM2-LM_historical_r2i1p1f1_gn_198001-198912.nc|noresg.nird.sigma2.no,CMIP6.CMIP.NCC.NorESM2-LM.historical.r2i1p1f1.SImon.siconc.gn.v20190920|noresg.nird.sigma2.no,CMIP6,CMIP,NCC,NorESM2-LM,historical,r2i1p1f1,SImon,mon,gn,20190920,100 km,siconc,Sea-Ice Area Percentage (Ocean Grid),%,1980-01-01T00:00:00Z,1989-12-01T00:00:00Z,11903362,noresg.nird.sigma2.no,http://noresg.nird.sigma2.no/thredds/fileServer/esg_dataroot/cmor/CMIP6/CMIP/NCC/NorESM2-LM/historical/r2i1p1f1/SImon/siconc/gn/v20190920/siconc_SImon_NorESM2-LM_historical_r2i1p1f1_gn_198001-198912.nc,hdl:21.14100/66e15d86-03de-3b9d-adc5-d6ebbff5a46d,hdl:21.14100/f3cc081b-386e-4ad4-857c-30c1b0e60574
CMIP6.CMIP.NCC.NorESM2-LM.historical.r2i1p1f1.SImon.siconc.gn.v20190920.siconc_SImon_NorESM2-LM_historical_r2i1p1f1_gn_199001-199912.nc|noresg.nird.sigma2.no,CMIP6.CMIP.NCC.NorESM2-LM.historical.r2i1p1f1.SImon.siconc.gn.v20190920|noresg.nird.sigma2.no,CMIP6,CMIP,NCC,NorESM2-LM,historical,r2i1p1f1,SImon,mon,gn,20190920,100 km,siconc,Sea-Ice Area Percentage (Ocean Grid),%,1990-01-01T00:00:00Z,1999-12-01T00:00:00Z,11897215,noresg.nird.sigma2.no,http://noresg.nird.sigma2.no/thredds/fileServer/esg_dataroot/cmor/CMIP6/CMIP/NCC/NorESM2-LM/historical/r2i1p1f1/SImon/siconc/gn/v20190920/siconc_SImon_NorESM2-LM_historical_r2i1p1f1_gn_199001-199912.nc,hdl:21.14100/66e15d86-03de-3b9d-adc5-d6ebbff5a46d,hdl:21.14100/e7e789e7-f6ef-4093-9b20-ef9b8998fbbb
CMIP6.CMIP.NCC.NorESM2-LM.historical.r2i1p1f1.SImon.siconc.gn.v20190920.siconc_SImon_NorESM2-LM_historical_r2i1p1f1_gn_200001-200912.nc|noresg.nird.sigma2.no,CMIP6.CMIP.NCC.NorESM2-LM.historical.r2i1p1f1.SImon.siconc.gn.v20190920|noresg.nird.sigma2.no,CMIP6,CMIP,NCC,NorESM2-LM,historical,r2i1p1f1,SImon,mon,gn,20190920,100 km,siconc,Sea-Ice Area Percentage (Ocean Grid),%,2000-01-01T00:00:00Z,2009-12-01T00:00:00Z,11837306,noresg.nird.sigma2.no,http://noresg.nird.sigma2.no/thredds/fileServer/esg_dataroot/cmor/CMIP6/CMIP/NCC/NorESM2-LM/historical/r2i1p1f1/SImon/siconc/gn/v20190920/siconc_SImon_NorESM2-LM_historical_r2i1p1f1_gn_200001-200912.nc,hdl:21.14100/66e15d86-03de-3b9d-adc5-d6ebbff5a46d,hdl:21.14100/024c2341-c86f-433d-9e28-2a72cabc1623
CMIP6.CMIP.NCC.NorESM2-LM.historical.r2i1p1f1.SImon.siconc.gn.v20190920.siconc_SImon_NorESM2-LM_historical_r2i1p1f1_gn_201001-201412.nc|noresg.nird.sigma2.no,CMIP6.CMIP.NCC.NorESM2-LM.historical.r2i1p1f1.SImon.siconc.gn.v20190920|noresg.nird.sigma2.no,CMIP6,CMIP,NCC,NorESM2-LM,historical,r2i1p1f1,SImon,mon,gn,20190920,100 km,siconc,Sea-Ice Area Percentage (Ocean Grid),%,2010-01-01T00:00:00Z,2014-12-01T00:00:00Z,7153185,noresg.nird.sigma2.no,http://noresg.nird.sigma2.no/thredds/fileServer/esg_dataroot/cmor/CMIP6/CMIP/NCC/NorESM2-LM/historical/r2i1p1f1/SImon/siconc/gn/v20190920/siconc_SImon_NorESM2-LM_historical_r2i1p1f1_gn_201001-201412.nc,hdl:21.14100/66e15d86-03de-3b9d-adc5-d6ebbff5a46d,hdl:21.14100/c97f97cf-9e17-41e2-a1a8-0a5089570a65
CMIP6.CMIP.NCC.NorESM2-LM.historical.r2i1p1f1.Ofx.areacello.gn.v20190920.areacello_Ofx_NorESM2-LM_historical_r2i1p1f1_gn.nc|noresg.nird.sigma2.no,CMIP6.CMIP.NCC.NorESM2-LM.historical.r2i1p1f1.Ofx.areacello.gn.v20190920|noresg.nird.sigma2.no,CMIP6,CMIP,NCC,NorESM2-LM,historical,r2i1p1f1,Ofx,fx,gn,20190920,100 km,areacello,Grid-Cell Area for Ocean Variables,m2,NA,NA,2065354,noresg.nird.sigma2.no,http://noresg.nird.sigma2.no/thredds/fileServer/esg_dataroot/cmor/CMIP6/CMIP/NCC/NorESM2-LM/historical/r2i1p1f1/Ofx/areacello/gn/v20190920/areacello_Ofx_NorESM2-LM_historical_r2i1p1f1_gn.nc,hdl:21.14100/3d84b4bd-e448-35ce-8870-c66f241fee00,hdl:21.14100/4f9da07b-f3e7-45ec-b662-a8d848954d8f
CMIP6.CMIP.MIROC.MIROC-ES2L.historical.r1i1p1f2.Ofx.areacello.gn.v20190823.areacello_Ofx_MIROC-ES2L_historical_r1i1p1f2_gn.nc|esgf-data02.diasjp.net,CMIP6.CMIP.MIROC.MIROC-ES2L.historical.r1i1p1f2.Ofx.areacello.gn.v20190823|esgf-data02.diasjp.net,CMIP6,CMIP,MIROC,MIROC-ES2L,historical,r1i1p1f2,Ofx,fx,gn,20190823,100 km,areacello,Grid-Cell Area,m2,NA,NA,555634,esgf-data02.diasjp.net,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2L/historical/r1i1p1f2/Ofx/areacello/gn/v20190823/areacello_Ofx_MIROC-ES2L_historical_r1i1p1f2_gn.nc,hdl:21.14100/5a454f45-0459-3ce6-9be4-668a2853ae02,hdl:21.14100/c2806be4-077c-4d80-9431-e4716e50646b
CMIP6.CMIP.MIROC.MIROC-ES2L.historical.r1i1p1f2.SImon.siconc.gn.v20190823.siconc_SImon_MIROC-ES2L_historical_r1i1p1f2_gn_185001-201412.nc|esgf-data02.diasjp.net,CMIP6.CMIP.MIROC.MIROC-ES2L.historical.r1i1p1f2.SImon.siconc.gn.v20190823|esgf-data02.diasjp.net,CMIP6,CMIP,MIROC,MIROC-ES2L,historical,r1i1p1f2,SImon,mon,gn,20190823,100 km,siconc,Sea Ice Area Fraction (Ocean Grid),%,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,70252510,esgf-data02.diasjp.net,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2L/historical/r1i1p1f2/SImon/siconc/gn/v20190823/siconc_SImon_MIROC-ES2L_historical_r1i1p1f2_gn_185001-201412.nc,hdl:21.14100/0b17516b-3399-3dd6-ae42-eca77e314c81,hdl:21.14100/63d85517-e336-4624-a7fe-7b3fcb467a19
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical.r10i1p1f1.SImon.siconc.gn.v20180803.siconc_SImon_IPSL-CM6A-LR_historical_r10i1p1f1_gn_185001-201412.nc|vesg.ipsl.upmc.fr,CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical.r10i1p1f1.SImon.siconc.gn.v20180803|vesg.ipsl.upmc.fr,CMIP6,CMIP,IPSL,IPSL-CM6A-LR,historical,r10i1p1f1,SImon,mon,gn,20180803,100 km,siconc,Sea Ice Area Fraction (Ocean Grid),%,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,134232326,vesg.ipsl.upmc.fr,http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM6A-LR/historical/r10i1p1f1/SImon/siconc/gn/v20180803/siconc_SImon_IPSL-CM6A-LR_historical_r10i1p1f1_gn_185001-201412.nc,hdl:21.14100/dce39a9f-ee34-3d6d-a441-985fb57a9e40,hdl:21.14100/8c76de86-392d-4cfd-993a-927f03d39c0d
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical.r10i1p1f1.Ofx.areacello.gn.v20180803.areacello_Ofx_IPSL-CM6A-LR_historical_r10i1p1f1_gn.nc|vesg.ipsl.upmc.fr,CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical.r10i1p1f1.Ofx.areacello.gn.v20180803|vesg.ipsl.upmc.fr,CMIP6,CMIP,IPSL,IPSL-CM6A-LR,historical,r10i1p1f1,Ofx,fx,gn,20180803,100 km,areacello,Grid-Cell Area,m2,NA,NA,1521370,vesg.ipsl.upmc.fr,http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM6A-LR/historical/r10i1p1f1/Ofx/areacello/gn/v20180803/areacello_Ofx_IPSL-CM6A-LR_historical_r10i1p1f1_gn.nc,hdl:21.14100/b3cab12a-158e-3184-8a50-b17b31b2a65f,hdl:21.14100/d788aa82-256a-45bb-b699-2126f77239ef
CMIP6.CMIP.NOAA-GFDL.GFDL-ESM4.historical.r1i1p1f1.Ofx.areacello.gn.v20190726.areacello_Ofx_GFDL-ESM4_historical_r1i1p1f1_gn.nc|esgdata.gfdl.noaa.gov,CMIP6.CMIP.NOAA-GFDL.GFDL-ESM4.historical.r1i1p1f1.Ofx.areacello.gn.v20190726|esgdata.gfdl.noaa.gov,CMIP6,CMIP,NOAA-GFDL,GFDL-ESM4,historical,r1i1p1f1,Ofx,fx,gn,20190726,50 km,areacello,Grid-Cell Area,m2,NA,NA,1894428,esgdata.gfdl.noaa.gov,http://esgdata.gfdl.noaa.gov/thredds/fileServer/gfdl_dataroot4/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Ofx/areacello/gn/v20190726/areacello_Ofx_GFDL-ESM4_historical_r1i1p1f1_gn.nc,hdl:21.14100/2c13f1a9-e1a4-3747-ae7d-0aca83ad4ee9,hdl:21.14100/a988aa00-4496-4639-8a25-823cfc15c60b
CMIP6.CMIP.NOAA-GFDL.GFDL-ESM4.historical.r1i1p1f1.SImon.siconc.gn.v20190726.siconc_SImon_GFDL-ESM4_historical_r1i1p1f1_gn_195001-201412.nc_0|esgdata.gfdl.noaa.gov,CMIP6.CMIP.NOAA-GFDL.GFDL-ESM4.historical.r1i1p1f1.SImon.siconc.gn.v20190726|esgdata.gfdl.noaa.gov,CMIP6,CMIP,NOAA-GFDL,GFDL-ESM4,historical,r1i1p1f1,SImon,mon,gn,20190726,50 km,siconc,Sea Ice Area Fraction (Ocean Grid),%,1950-01-01T00:00:00Z,2014-12-01T00:00:00Z,242286412,esgdata.gfdl.noaa.gov,http://esgdata.gfdl.noaa.gov/thredds/fileServer/gfdl_dataroot4/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/SImon/siconc/gn/v20190726/siconc_SImon_GFDL-ESM4_historical_r1i1p1f1_gn_195001-201412.nc,hdl:21.14100/9a8b9a51-1b77-3194-9a29-0ff839ab9e96,hdl:21.14100/63b60e2a-d6ab-4cc5-81f0-fb05ef95f5b5
CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r1i1p1f2.SImon.siconc.gn.v20181206.siconc_SImon_CNRM-ESM2-1_historical_r1i1p1f2_gn_185001-201412.nc|esg1.umr-cnrm.fr,CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r1i1p1f2.SImon.siconc.gn.v20181206|esg1.umr-cnrm.fr,CMIP6,CMIP,CNRM-CERFACS,CNRM-ESM2-1,historical,r1i1p1f2,SImon,mon,gn,20181206,100 km,siconc,Sea Ice Area Fraction (Ocean Grid),%,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,134763410,esg1.umr-cnrm.fr,http://esg1.umr-cnrm.fr/thredds/fileServer/CMIP6_CNRM/CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r1i1p1f2/SImon/siconc/gn/v20181206/siconc_SImon_CNRM-ESM2-1_historical_r1i1p1f2_gn_185001-201412.nc,hdl:21.14100/f1bba640-ba92-3aac-9c4e-aa063d60a163,hdl:21.14100/31dc4729-b901-4072-b1ef-f7059e2248cd
