x,y,Name,area_m
29.5,-44.5,5,8837263360
30.5,-44.5,5,8837263360
31.5,-44.5,5,8837263360
32.5,-44.5,5,8837263360
33.5,-44.5,5,8837263360
34.5,-44.5,5,8837263360
35.5,-44.5,5,8837263360
36.5,-44.5,5,8837263360
37.5,-44.5,5,8837263360
38.5,-44.5,5,8837263360
39.5,-44.5,5,8837263360
40.5,-44.5,5,8837263360
41.5,-44.5,5,8837263360
42.5,-44.5,5,8837263360
43.5,-44.5,5,8837263360
44.5,-44.5,5,8837263360
45.5,-44.5,5,8837263360
46.5,-44.5,5,8837263360
47.5,-44.5,5,8837263360
48.5,-44.5,5,8837263360
49.5,-44.5,5,8837263360
50.5,-44.5,5,8837263360
51.5,-44.5,5,8837263360
52.5,-44.5,5,8837263360
53.5,-44.5,5,8837263360
54.5,-44.5,5,8837263360
55.5,-44.5,5,8837263360
56.5,-44.5,5,8837263360
57.5,-44.5,5,8837263360
58.5,-44.5,5,8837263360
59.5,-44.5,5,8837263360
60.5,-44.5,5,8837263360
61.5,-44.5,6,8837263360
62.5,-44.5,6,8837263360
63.5,-44.5,6,8837263360
64.5,-44.5,6,8837263360
65.5,-44.5,6,8837263360
66.5,-44.5,6,8837263360
67.5,-44.5,6,8837263360
68.5,-44.5,6,8837263360
69.5,-44.5,6,8837263360
70.5,-44.5,6,8837263360
71.5,-44.5,6,8837263360
72.5,-44.5,6,8837263360
73.5,-44.5,6,8837263360
74.5,-44.5,6,8837263360
75.5,-44.5,6,8837263360
76.5,-44.5,6,8837263360
77.5,-44.5,6,8837263360
78.5,-44.5,6,8837263360
79.5,-44.5,6,8837263360
80.5,-44.5,6,8837263360
30.5,-45.5,5,8686379008
31.5,-45.5,5,8686379008
32.5,-45.5,5,8686379008
33.5,-45.5,5,8686379008
34.5,-45.5,5,8686379008
35.5,-45.5,5,8686379008
36.5,-45.5,5,8686379008
37.5,-45.5,5,8686379008
38.5,-45.5,5,8686379008
39.5,-45.5,5,8686379008
40.5,-45.5,5,8686379008
41.5,-45.5,5,8686379008
42.5,-45.5,5,8686379008
43.5,-45.5,5,8686379008
44.5,-45.5,5,8686379008
45.5,-45.5,5,8686379008
46.5,-45.5,5,8686379008
47.5,-45.5,5,8686379008
48.5,-45.5,5,8686379008
49.5,-45.5,5,8686379008
50.5,-45.5,5,8686379008
51.5,-45.5,5,8686379008
52.5,-45.5,5,8686379008
53.5,-45.5,5,8686379008
54.5,-45.5,5,8686379008
55.5,-45.5,5,8686379008
56.5,-45.5,5,8686379008
57.5,-45.5,5,8686379008
58.5,-45.5,5,8686379008
59.5,-45.5,5,8686379008
60.5,-45.5,6,8686379008
61.5,-45.5,6,8686379008
62.5,-45.5,6,8686379008
63.5,-45.5,6,8686379008
64.5,-45.5,6,8686379008
